GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,GrpcAccessApprovalCallableFactory,26,13,0,0,5,3,5,3,5,3
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,HttpJsonAccessApprovalCallableFactory,31,13,0,0,9,3,3,3,3,3
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,AccessApprovalStubSettings.Builder,84,371,0,0,21,108,4,15,4,15
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,GrpcAccessApprovalStub,53,435,0,0,17,183,9,23,9,23
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,AccessApprovalStubSettings,28,152,1,3,7,57,5,24,4,23
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,AccessApprovalStub,50,3,0,0,10,1,10,1,10,1
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,AccessApprovalStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,5,0,2,0,2
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,AccessApprovalStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1.stub,HttpJsonAccessApprovalStub,50,846,0,0,16,328,8,42,8,42
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminSettings,74,12,0,0,19,6,18,5,18,5
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminClient.ListApprovalRequestsFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminClient.ListApprovalRequestsPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminClient,62,239,6,6,16,67,17,33,11,33
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminClient.ListApprovalRequestsPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-cloud-accessapproval,com.google.cloud.accessapproval.v1,AccessApprovalAdminSettings.Builder,63,19,0,0,19,5,14,4,14,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessPoliciesPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListServicePerimetersPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessLevelsFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessLevelsPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessPoliciesFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListServicePerimetersPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerSettings,219,12,0,0,67,6,47,5,47,5
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListGcpUserAccessBindingsPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessLevelsPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient,168,598,14,14,39,162,45,81,31,81
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListGcpUserAccessBindingsFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListGcpUserAccessBindingsPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListAccessPoliciesPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerSettings.Builder,179,19,0,0,48,5,43,4,43,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1,AccessContextManagerClient.ListServicePerimetersFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,HttpJsonAccessContextManagerStub,104,2122,0,0,34,893,26,114,26,114
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,GrpcAccessContextManagerStub,104,1189,0,0,34,484,26,50,26,50
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.Builder,292,1383,0,0,59,538,4,44,4,44
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStub,210,7,0,0,42,3,42,3,42,3
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings,28,408,1,3,7,136,5,53,4,52
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,5,0,2,0,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,5,0,2,0,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,5,0,2,0,2
CoverageAggregator/google-identity-accesscontextmanager,com.google.identity.accesscontextmanager.v1.stub,AccessContextManagerStubSettings.new PagedListDescriptor() {...},18,14,1,1,8,5,4,4,3,4
